102
0,inti,0,-1
1,ID,10,0
2,;,0,-1
3,inti,0,-1
4,ID,11,0
5,;,0,-1
6,say,0,-1
7,(,0,-1
8,CONST,14,0
9,),0,-1
10,;,0,-1
11,giveInti,0,-1
12,(,0,-1
13,ID,10,0
14,),0,-1
15,;,0,-1
16,say,0,-1
17,(,0,-1
18,CONST,8,0
19,),0,-1
20,;,0,-1
21,giveInti,0,-1
22,(,0,-1
23,ID,11,0
24,),0,-1
25,;,0,-1
26,inti,0,-1
27,ID,4,0
28,;,0,-1
29,hmm,0,-1
30,(,0,-1
31,ID,10,0
32,>,0,-1
33,ID,11,0
34,),0,-1
35,{,0,-1
36,ID,4,0
37,=,0,-1
38,ID,10,0
39,;,0,-1
40,ID,10,0
41,=,0,-1
42,ID,11,0
43,;,0,-1
44,ID,11,0
45,=,0,-1
46,ID,4,0
47,;,0,-1
48,},0,-1
49,inti,0,-1
50,ID,4,1
51,,,0,-1
52,ID,12,0
53,;,0,-1
54,repeatAfterMe,0,-1
55,(,0,-1
56,ID,4,1
57,=,0,-1
58,CONST,20,0
59,;,0,-1
60,ID,4,1
61,<=,0,-1
62,ID,11,0
63,;,0,-1
64,CONST,7,0
65,),0,-1
66,{,0,-1
67,hmm,0,-1
68,(,0,-1
69,ID,10,0
70,%,0,-1
71,ID,4,1
72,==,0,-1
73,CONST,19,0
74,),0,-1
75,{,0,-1
76,hmm,0,-1
77,(,0,-1
78,ID,11,0
79,%,0,-1
80,ID,4,1
81,==,0,-1
82,CONST,19,0
83,),0,-1
84,{,0,-1
85,ID,12,0
86,=,0,-1
87,ID,4,1
88,;,0,-1
89,},0,-1
90,},0,-1
91,},0,-1
92,say,0,-1
93,(,0,-1
94,CONST,1,0
95,),0,-1
96,;,0,-1
97,sayInti,0,-1
98,(,0,-1
99,ID,12,0
100,),0,-1
101,;,0,-1
