83
0,inti,0,-1
1,ID,12,0
2,;,0,-1
3,inti,0,-1
4,ID,10,0
5,;,0,-1
6,inti,0,-1
7,ID,11,0
8,;,0,-1
9,inti,0,-1
10,ID,4,0
11,;,0,-1
12,say,0,-1
13,(,0,-1
14,CONST,11,1
15,),0,-1
16,;,0,-1
17,giveInti,0,-1
18,(,0,-1
19,ID,10,0
20,),0,-1
21,;,0,-1
22,say,0,-1
23,(,0,-1
24,CONST,5,0
25,),0,-1
26,;,0,-1
27,giveInti,0,-1
28,(,0,-1
29,ID,10,0
30,),0,-1
31,;,0,-1
32,say,0,-1
33,(,0,-1
34,CONST,5,0
35,),0,-1
36,;,0,-1
37,giveInti,0,-1
38,(,0,-1
39,ID,12,0
40,),0,-1
41,;,0,-1
42,hmm,0,-1
43,(,0,-1
44,ID,10,0
45,>,0,-1
46,ID,11,0
47,),0,-1
48,{,0,-1
49,ID,4,0
50,=,0,-1
51,ID,10,0
52,;,0,-1
53,},0,-1
54,nah,0,-1
55,{,0,-1
56,ID,4,0
57,=,0,-1
58,ID,11,0
59,;,0,-1
60,},0,-1
61,hmm,0,-1
62,(,0,-1
63,ID,4,0
64,<,0,-1
65,ID,12,0
66,),0,-1
67,{,0,-1
68,ID,4,0
69,=,0,-1
70,ID,12,0
71,;,0,-1
72,},0,-1
73,say,0,-1
74,(,0,-1
75,CONST,25,0
76,),0,-1
77,;,0,-1
78,sayInti,0,-1
79,(,0,-1
80,ID,4,0
81,),0,-1
82,;,0,-1
